id,title,content
4078,Drain the Sunken Pirate City,N/A
4079,Drain the Titanic,Computer-generated imagery and other visualization techniques reveal how it would look if all the water was removed from RMS Titanic's final resting place.
4080,DuckTales,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby."
4081,DuckTales the Movie: Treasure of the Lost Lamp,"Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp."
4082,Dug's Special Mission,"Alpha, Beta, and Gamma try to keep Dug out of their way while they hunt for Kevin the Snipe. However, their instructions for his ""very special mission"" keep backfiring on them."
4083,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer."
4084,,
4085,Earth Live,"Jane Lynch and Phil Keoghan take viewers on a journey around the world, focusing on some of the most spectacular wildlife."
4086,Easter Island Underworld,N/A
4087,Eddie's Million Dollar Cook-Off,"Eddie loves baseball. His dad's the coach, his best friends are his teammates. But will he strike out with them all if he trades his glove for an oven mitt."
4088,Eight Below,Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.
4089,Elena of Avalor,"Princess Elena has saved her magical kingdom, Avalor, from an evil sorceress and must learn to rule as its crown princess. Elena's adventures will lead her to understand that her new role requires thoughtfulness, resilience and compassion."
4090,,
4091,Elephant,Documentary follows an African elephant named Shani and her son Joao as their heard make an epic journey across the Kalashnikov Desert.
4092,Elmer Elephant,"The other children at a birthday party mock Elmer Elephant for his big nose, but it proves useful when he needs to save the birthday girl from a fire in her tree house."
4093,Emil and the Detectives,Emil goes to Berlin to see his grandmother with a large amount of money and is offered sweets by a strange man that make him sleep. He wakes up at his stop with no money. It is up to him and a group of children to save the day.
4094,Empire of Dreams: The Story of the 'Star Wars' Trilogy,"An in-depth making of documentary about the original Star Wars trilogy, covering the productions of the three films and their impact on popular culture."
4095,Encore!,"Executive producer Kristen Bell, who also appears, reunites the cast of a high school musical and asks them to perform it again years later. Each former student reprises their role from ..."
4096,Escape to Witch Mountain,Two mysterious orphan children have extraordinary powers and are chased by a scheming millionaire. But where do these kids really call home?
4097,Even Stevens,"The misadventures of the Stevens family of five in Sacramento, California."
4098,Expedition Amelia,Deep-sea explorer Dr. Robert Ballard attempts to solve the mystery of Amelia Earhart's disappearance in an effort to end speculation about what actually happened to her.
4099,Expedition Mars,"Expedition Mars brings to life one of the greatest sagas of the Space Age, the epic adventures of Spirit and Opportunity, the rovers that saved NASA's Mars program after a string of failures in the 1990's."
4100,Disney's Fairy Tale Weddings,"Viewers get a behind-the-scenes look at the magical weddings and one-of-a-kind engagements that take place at Disney Destinations around the globe, including Walt Disney World, Disneyland, ..."
4101,Fantasia,A collection of animated interpretations of great works of Western classical music.
4102,Fantasia 2000,An update of the original film with new interpretations of great works of classical music.
4103,Fantastic Four: The Animated Series,The adventures of Marvel Comic's greatest superhero team.
4104,Fantastic Four: World's Greatest Heroes,The adventures of the Marvel Universe's premiere superhero family.
4105,Ferdinand the Bull,"Little Ferdinand the bull is stung by a bumblebee when men come to pick a bull for a fight. When he gets in the arena, all he cares about are the flowers in the matador's hands."
4106,Finding Dory,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
4107,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
4108,,
4109,First Kid,"A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector."
4110,Fish Hooks,Three friends attend a school for fish submerged in a pet shop.
4111,Flight of the Navigator,"In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship."
4112,Float,"A father discovers that his son floats, which makes him different from other kids. To keep them both safe from the judgment of the world, Dad hides, covers, and grounds him. But when his son's ability becomes public, Dad must decide whether to run and hide or to accept his son as he is."
4113,Flowers and Trees,"An evil tree stump, jealous of two trees in love, starts a forest fire."
4114,Flubber,"An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance."
4115,,
4116,For the Birds,A group of snooty birds roosting on a telephone wire get their just deserts when a goofy bird drops in.
4117,,
4118,,
4119,,
4120,,
4121,,
4122,What is Cheese?,Buttercup takes Forky on a whirlwind ride in an effort to answer any questions he may have.
4123,,
4124,,
4125,What is Reading?,Forky asks the Peas-in-a-Pod about reading and Mr. Spell offers his help as well.
4126,,
4127,Frank and Ollie,"A documentary about two famed Disney animators, Frank and Ollie."
4128,Frankenweenie,"When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment."
4129,Frankenweenie,A young boy sets out to revive his dead pet using the monstrous power of science.
4130,Freaky Friday,A mother and daughter find their personalities switched and have to live each other's lives on one strange Friday.
4131,Freaky Friday,"An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
4132,Freaky Friday,"A musical about what happens when a mom and daughter argue, get their bodies magically switched, and have to make it through the day being the other at high school or preparing for the wedding next day - while hoping to switch back."
4133,Free Solo,Alex Honnold attempts to become the first person to ever free solo climb El Capitan.
4134,Frenemies,Three sets of friends deal with the ups and downs of their ever-changing relationships.
4135,Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
4136,Frozen II,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
4137,Full-Court Miracle,"An African American college basketball star becomes the head coach of a yeshiva's struggling basketball team in Philadelphia, Pennsylvania, after a knee injury forces him to leave the game. Based on the true story of Lamont Carr."
4138,Fun and Fancy Free,"Jiminy Cricket hosts two Disney animated shorts: ""Bongo,"" about a circus bear escaping to the wild, and ""Mickey and the Beanstalk,"" a take on the famous fairy tale."
4139,Fuzzbucket,"In the vein of ""Harvey"", an invisible creature befriends a 12 year old boy. Of course, no one else can see him nor believes in him."
4140,G-Force,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.
4141,Gargoyles,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.
4142,Geek Charming,"To win a school popularity contest, a high school diva permits a film club classmate to record her popular life, but the film starts documenting her decline instead."
4143,Genius,Charlie Boyle finds that even his high IQ can't solve all of his problems when he takes on a double life in order to make friends his own age.
4144,,
4145,George of the Jungle,A man raised in the jungle by apes falls in love with a wealthy American heiress.
4146,George of the Jungle 2,"George, now a father, goes to Las Vegas, where he has to help out his brother."
4147,Geri's Game,Geri sets up a chess game to play his greatest opponent - himself.
4148,Get a Clue,"A wealthy student with too much fashion sense, her equally rich friends, and her rival/superior from the school paper work together to solve the case when their teacher goes missing."
4149,,
4150,Girl Meets World,"More than a decade after Boy Meets World (1993), Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger."
4151,Glory Road,"In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
4152,Go Figure,"A teenager dreams of becoming a champion ice-skater, and soon discovers a top Russian instructor is working at a nearby private school."
4153,Going to the Mat,"Jace Newfield has a problem. Besides being blind and being the new kid at school, his problem is that the kids at his new school thinks he's a jerk. Jace has to find a way to be accepted ..."
4154,Good Luck Charlie,"The Duncan family are adjusting to the surprise birth of their fourth child, Charlie. When parents Amy and Bob return to work they put their latest addition in the care of her three older siblings."
4155,"Good Luck Charlie, It's Christmas!",Idiocy strikes when a woman and her daughter get separated from their family during the holidays.
4156,Goof Troop,"The classic Disney character Goofy is a single father raising his son, Max, in Spoonerville. Pete, a frequent antagonist from the old cartoons, lives next door with his family."
4157,Gordon Ramsay: Uncharted,"Globetrotting celebrity chef Gordon Ramsay serves up an epic adventure in ""Gordon Ramsay: Uncharted."" He travels around the world meeting with indigenous people to learn about their foods ..."
4158,Gotta Kick It Up!,A school dance team get a new lease of life thanks to a teacher who lets them in on the secret of Latin rhythms for a big competition.
4159,,
4160,The Grasshopper and the Ants,"As in the classic fable, the grasshopper plays his fiddle and lives for the moment, while the industrious ants squirrel away massive amounts of food for the winter. With his song, he's able..."
4161,Great Migrations,Great Migrations takes viewers on the epic journeys animals undertake to ensure the survival of their species.
4162,Greyfriars Bobby: The True Story of a Dog,The remarkable veritable story of a terrier named Bobby and the enduring friendship he forges with a tenderhearted shepherd known simply as Old Jock---unbroken even by the kindly old man's death.
4163,Gus,"The California Atoms are in last place with no hope of moving up. But by switching the mule from team mascot to team member, (He can kick 100 yard field goals!) they start winning, and move..."
4164,Hacksaw,A girl captures a white stallion to compete in a contest.
4165,Halloweentown,"After learning she is a witch, a girl helps save a town full of other supernatural creatures."
4166,Halloweentown High,A girl in a magical world bets her family's magic that nothing bad will happen when kids from Halloweentown attend high school in the mortal realm.
4167,Halloweentown II: Kalabar's Revenge,"The Cromwell clan split their time between the real world and ""Halloweentown"", but the son of an old rival threatens to make the latter ""real"" and the real world a place of monsters."
4168,Handy Manny,"A show about handyman Manny Garcia and his helpful talking tools, who make repairs and fix problems in the small town of Sheetrock Hills."
4169,Hannah Montana,Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.
4170,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,A 3-D concert film of the 2007 Hannah Montana/Miley Cyrus tour.
4171,Hannah Montana: The Movie,"As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most."
4172,,
4173,Hatching Pete,"When Cleatus can't play the school mascot, Pete has to secretly do the job."
4174,Hawaiian Holiday,"The gang is on vacation. Goofy has some surfing problems, Donald learns why you don't wear a grass skirt near a fire, Pluto and a starfish have a tiff, followed by an encounter with a hermit crab."
4175,Heavyweights,"Plump kids are lured into joining a posh fat camp with the promise of quick weight loss and good times, only to find that the facility is a woodland hellhole run by a psycho ex-fitness instructor."
4176,Henry Hugglemonster,"A happy young Hugglemonster named Henry goes on adventures with his friends and family. When they run into problems,Henry finds a way to save the day."
4177,Herbie Goes Bananas,The adorable little VW helps its owners break up a counterfeiting ring in Mexico.
4178,Herbie Goes to Monte Carlo,"Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. Unbeknownst to Herbie's driver, thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back."
4179,Herbie Rides Again,The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.
4180,Herbie Fully Loaded,"Maggie Peyton, the new owner of Herbie, Number 53, the free-wheelin' Volkswagen bug with a mind of its own, puts the car through its paces on the road to becoming a NASCAR competitor."
4181,Hercules,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
4182,High School Musical,A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.
4183,High School Musical 2,School's out for summer and the East High Wildcats are ready to make it the time of their lives after landing jobs in a wealthy country club owned by Sharpay and Ryan's family.
4184,High School Musical 3,"As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future."
4185,High School Musical: The Musical - The Series,The students from the school where the High School Musical films were shot stage a musical production based on the franchise.
4186,,
4187,High School Musical: The Musical: The Series: The Special,"A documentary-style look into how the Disney+ original series ""High School Musical: The Musical - The Series"" (2019) was created."
4188,Hocus Pocus,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
4189,Holes,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.
4190,Home Alone 3,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car."
4191,Home on the Range,"To save their farm, the resident animals go bounty hunting for a notorious outlaw."
4192,Homeward Bound II: Lost in San Francisco,"Shadow, Sassy, and Chance have to find their way home after they become stranded at the San Francisco International Airport as their owners fly to Canada on vacation."
4193,Homeward Bound: The Incredible Journey,Three pets escape from a California ranch to find their owners in San Francisco.
4194,"Honey, I Blew Up the Kid","The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall."
4195,"Honey, I Shrunk the Kids",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
4196,"Honey, We Shrunk Ourselves!","Mischief device, created by Wayne Szalinski, mess up again - this time not the children have shrunk, but the adults themselves."
4197,Horse Sense,After treating his rancher cousin shoddily in L.A. Michael Woods is sentenced by his parents to spending a month on the ranch with his cousin and aunt.
4198,Hostile Planet,A look at the world's harshest landscapes and the animals that have adapted to live there.
4199,Hounded,A teenager ends up being hounded by a well-groomed and seemingly cute and tiny dog that actually turns out to be a nightmare of a beast.
4200,How Dogs Got Their Shapes,N/A
4201,How to Build a Better Boy,Teenage tech whizzes unwittingly use military software to program a robotic boyfriend.
4202,How to Fish,"Goofy demonstrates yet another pasttime, fishing. His demonstrated skill fails to explain where all the trophies mounted in his study came from..."
4203,How to Play Baseball,"Goofy shows us the national pastime. After a brief overview, we have a demonstration of the many possible pitches. On to the World Series, where we go through an eventful inning, ..."
4204,How to Play Football,It's Taxidermy Tech vs. Anthropology A&M for this introduction to college football (first piece of special equipment needed: a campus covered in ivy). Among the names borrowed for players: ...
4205,How to Swim,"Goofy shows us how to swim, first using a piano stool to demonstrate the strokes, right into the middle of traffic and back again. Next, Goofy tries to change in a tiny beachhouse and ends ..."
4206,Hulk and the Agents of S.M.A.S.H.,"The Incredible Hulk teams up with Red Hulk, She-Hulk, Skaar, and Rick Jones aka A-Bomb to battle the forces of evil in front of cameras for Rick's web-based series to show the Hulk is more hero than monster."
4207,I'll Be Home for Christmas,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas."
4208,Ice Age,"Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe."
4209,Ice Age: The Great Egg-Scapade,"When Sid takes a job as an egg nanny, he's unaware an old enemy has plans of his own. The shenanigans lead to the first egg hunt and creation of popular Easter traditions."
4210,Ice Princess,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater."
4211,Imagination Movers,Four Best Friends who solve problems for others.
4212,,
4213,In the Footsteps of Elephant,It follows filmmakers as they capture the epic journey of African elephants across the Kalahari desert for Disneynature's Elephant (2020).
4214,Incredible! The Story of Dr. Pol,N/A
4215,,
4216,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
4217,Inspector Gadget,A security guard's dreams come true when he is selected to be transformed into a cybernetic police officer.
4218,Inspector Gadget 2,"Inspector Gadget returns in this sequel to the 1999 hit. A glitched Gadget once again must fight his arch nemesis, Claw, with the aid of a female Gadget: G2."
4219,Into the Canyon,"Two journalists traverse the Grand Canyon by foot, hoping to better understand the revered canyon."
4220,Into the Okavango,"A passionate conservation biologist brings together a river bushman fearful of losing his past and a young scientist uncertain of her future on an epic, four-month expedition across three ..."
4221,Invincible,"Based on the story of Vince Papale, a 30-year-old bartender from South Philadelphia who overcame long odds to play for the NFL's Philadelphia Eagles in 1976."
4222,Invisible Sister,"Teenager Cleo's school science project goes quite awry, causing her popular older sister Molly to go invisible."
4223,Iron Man,Industrialist Tony Stark leads his private team of superheros as Iron Man against the forces of evil.
4224,Iron Man: Armored Adventures,A teenage Tony Stark battles evil with his revolutionary power armor technology.
4225,Iron Will,A brave young man is thrust into adulthood as he and his courageous team of sled dogs embark on a grueling and treacherous cross-country marathon.
4226,,
4227,Jack,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled."
4228,Jack-Jack Attack,"The Parrs' baby Jack-Jack is thought to be normal, not having any super-powers like his parents or siblings. But when an outsider is hired to watch him, Jack-Jack shows his true potential."
4229,James and the Giant Peach,"An orphan, who lives with his two cruel aunts, befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City."
4230,Jane,"The life and work of the renowned primatology scientist, Jane Goodall, especially on her research about chimpanzees."
4231,,
4232,Jessie,A Texan teen moves to New York City to follow her dreams and ends up as a nanny for a high profile couple's four children.
4233,Episode #2.7,A slew of unusual findings and emergencies have Dr. Pol and Diane convinced the full moon is the cause of the chaos.
4234,John Carter,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
4235,Johnny Kapahala: Back on Board,"In the movie, Johnny Kapahala, a teen snowboarding champion from Vermont, returns to Oahu, Hawaii, for the wedding of his hero -- his grandfather, local surf legend Johnny Tsunami -- and to..."
4236,Johnny Tsunami,A Hawaiian teenage surfer shows off his skills when he takes to the snow slopes in Vermont.
4237,Jonas Brothers: The 3D Concert Experience,"A 3-D concert film of the 2008 Jonas Brothers ""Burning Up"" concert tour, as well as documentary footage on the lives of the three brothers."
4238,Nature Untamed,N/A
4239,Journey to the Center of the Earth,An Edinburgh professor and assorted colleagues follow an explorer's trail down an extinct Icelandic volcano to the earth's center.
4240,Jump In!,A teenager is pressured by his father to become a boxer - but a local girl introduces him to the very different sport of rope-jumping.
4241,Jumping Ship,Michael has big plans to show his cousin Tommy a good time aboard a luxury yacht until he discovers that the yacht he's chartered is actually an old rusted fishing boat. But when modern-day...
4242,Jungle 2 Jungle,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process."
4243,Jungle Cat,This documentary chronicles the life of a female spotted jaguar in the South American jungle.
4244,Justin Morgan Had a Horse,"The circumstances that lead to the origination of the first American Bred Horse, the Morgan Horse."
4245,Kazaam,"A troubled kid inadvertently releases a genie, who must grant him any three wishes he requests."
4246,Kickin' It,A once-in-a-generation young karate fighter named Jack joins the Wasabi warriors.
4247,Kim Possible,Heroes Kim and Ron face the problems of starting high school as freshmen when their team gets an addition. Every hero needs a villain and one's just been sprung from prison. Will Kim save the world again or will high school bog her down?
4248,Kim Possible: So the Drama,"Kim's heart is quickly captured by the new boy, Eric, who soon becomes her boyfriend. Unknown to Kim, her best friend and sidekick, Ron has developed stronger feelings toward her."
4249,,
4250,Kingdom of the Blue Whale,"This documentary from National Geographic takes a super in-depth look at the mysterious creature the Blue Whale, exploring how the effects of currents on the ocean floors influence the ways..."
4251,Kingdom of the White Wolf,"Ronan Donovan, a National Geographic researcher, travels to the Arctic to study wolves."
4252,Kitbull,"An unlikely connection sparks between two creatures: a fiercely independent stray kitten and a pit bull. Together, they experience friendship for the first time."
4253,,
4254,Kronk's New Groove,"Kronk desperately tries to find ways to impress his dad, whom he can never please. But when things go wrong, Kronk kicks into comical gear and discovers the true riches in life are his friends and being ""true to your groove""."
4255,La Luna,A young boy helps his father and grandfather harvest stars from the moon.
4256,Lab Rats,"A scrawny 14-year-old, having discovered his inventor stepdad has three bionic, super-powered teens living cloistered in a secret lab beneath their home, brings them out into the world."
4257,Lady and the Tramp,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
4258,Lady and the Tramp,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
4259,Lady and the Tramp 2: Scamp's Adventure,"Seeking the freedom to be a wild dog, the son of Lady and the Tramp runs away to join a gang of junkyard dogs."
4260,Lambert the Sheepish Lion,"A delivery stork mistakenly delivers Lambert, a lion cub, to a flock of sheep. The mother won't let the stork take him back, so Lambert is raised as a sheep, but he just doesn't fit in. He ..."
4261,Lamp Life,Short that shows what happened to Bo Peep and her sheep between Toy Story 2 and when she reappears in Toy Story 4.
4262,,
4263,Lego Frozen Northern Lights,"Elsa, Anna and friends search for the Northern Lights."
4264,Lego Star Wars: All-Stars,"New faces team-up with iconic heroes Young Han Solo, Chewbacca, Young Lando Calrissian, BB-8, and General Leia for adventures that span all eras of the Star Wars universe."
4265,,
4266,Lego Star Wars: Droid Tales,"Immediately after the Battle of Endor, C-3PO recounts the Skywalker saga so far as he helps recover R2-D2 from a shadowy figure."
4267,LEGO Star Wars: The Resistance Rises,"Before the Force awakened and prior to the First Order's attack on Jakku, follow the never-before-told stories of Poe Dameron, Han Solo, Chewbacca, Maz Kanata, Rey, Finn, BB-8 and more!"
4268,Lego Star Wars: The Freemaker Adventures,"The series stars the Freemakers, a family of scavengers who build and sell starships from the scoured debris of space battles strewn throughout the galaxy. When their youngest discovers a ..."
4269,,
4270,The New Yoda Chronicles: Clash of the Skywalkers,"The enraged Emperor sends Darth Vader and his entire fleet to find and destroy Luke as revenge for his destruction of the Holocrons. Luke, however, finds inspiration from the last remaining..."
4271,The New Yoda Chronicles: Raid on Coruscant,The Emperor uses the information on the recovered Holocrons to launch devastating attacks on planets sympathetic to the Rebellion. Luke knows there's only one solution: a daring raid on Coruscant to get the Holocrons back.
4272,,
4273,The New Yoda Chronicles: Escape from the Jedi Temple,"Luke makes an immature decision that is close to disaster, so Yoda and Ben Kenobi chooses to extend his learning."
4274,Lego Star Wars: The Yoda Chronicles,"Centered around Yoda's stories that take place before ''Lego Star Wars: The Padawan Menace''. Yoda begins by training Padawans at the Jedi Temple Academy, but then he feels a disturbance in the Force and rushes off to fight the Dark Side."
4275,Lemonade Mouth,"Five high school kids, Olivia, Wendall, Stella, Charlie, and Mo, meet in detention and start a band based on the lemonade vending machine outside the detention room."
4276,Lend a Paw,"Pluto saves the life of a kitten, and later feels jealous towards the kitten after Mickey Mouse takes the kitten in."
4277,Leroy & Stitch,"New circumstances forces Lilo and her alien friends to part ways while Gantu and Dr. Van Hamsterviel create the Stitch clone, Leroy, in order to capture all of the experiments and take over the galaxy."
4278,Let It Shine,A teenage rapper must use his musical talent to battle his nemesis and win the girl of his dreams.
4279,Let's Stick Together,"An elderly bee, seeing an equally elderly Donald Duck in the park, looks back on their long partnership. The bee started helping Donald pick up trash, then using his sharp stinger to ..."
4280,Life Below Zero,The everyday struggles of living in the secluded state of Alaska where one wrong decision could cost you your life.
4281,Life Is Ruff,"Calvin Wheeler is a scheming 13-year-old boy with everything going for him, except for an original issue of his precious comic book collection. When a prized show-dog chases him down while ..."
4282,Life with Mikey,A once-popular actor who now runs a talent agency specializing in child acts is trying to discover the next star. He gets more than he bargained for when he recruits a child pickpocket.
4283,Life-Size 2,"Grace is a hot mess in the middle of a quarter-life crisis, realizing that she is in over her head as a toy company's CEO. To make it worse, her wild-child ways are causing the company's stock to plummet."
4284,Lifted,"A teenage alien is trying to abduct a sleeping human, but doesn't know which switch to use."
4285,Lilo & Stitch,A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive.
4286,Lilo & Stitch: The Series,The rambunctious human and alien duo must hunt down Dr. Jumba Jookiba's 625 other experimental creatures infesting Hawaii.
4287,Lilo & Stitch 2: Stitch Has a Glitch,A malfunction threatens to destroy Stitch and his friendship with Lilo!
4288,Lizzie McGuire,The daily adventures of an adolescent girl whose real thoughts and emotions are expressed by her sarcastic animated alter ego. New episodes starting November 12th 2020 on Disney+.
4289,Lonesome Ghosts,"Four bored ghosts in a haunted house who've scared everyone away call up Ghost Hunters Mickey, Donald, and Goofy in hopes to have a little fun scaring them off."
4290,Loop,"In LOOP, two kids at canoe camp find themselves adrift on a lake, unable to move forward until they find a new way to connect and see the world through each other's eyes."
4291,Lost Cities with Albert Lin,"Utilizing ground-penetrating radar, LiDar and 3D scanning, Lin will work with boots-on-the-ground archaeologists to discover and re-create unexcavated worlds still hidden beneath the earth."
4292,,
4293,Lost Treasures of the Maya,"A new ""treasure map"" of the Maya world is transforming what we thought we knew of one of the world most mysterious ancient civilizations"
4294,Lou,A Pixar short about a lost-and-found box and the unseen monster within.
4295,,
4296,The Luck of the Irish,A teenager must battle for a gold charm to keep his family from being controlled by an evil leprechaun.
4297,,
4298,Playdate with Destiny,Maggie and Marge are having a play-date at Springfield's finest toddler play park when Maggie becomes smitten with a little boy. It's love at first suck and Maggie dreams about seeing him again after a day full of make-believe romance.
4299,Magician Mickey,"Donald Duck continually heckles Mickey's magic act, but Mickey bests him at every turn."
4300,,
4301,,
4302,Man Among Cheetahs,Wildlife filmmaker Bob Poole follows a mother cheetah named Naborr who is determined to keep her two cubs alive.
4303,Mars Needs Moms,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.
4304,MARS: Inside SpaceX,"MARS: Inside SpaceX will go inside SpaceX's plan to get humanity to Mars, providing an unprecedented glimpse into one of the world's most revolutionary companies. Filmed over the course of ..."
4305,Marvel 75 Years: From Pulp to Pop!,Emily Vancamp hosts this one of a kind experience showing the history and development of Marvel from the first comic book to the latest blockbuster hit.
4306,Spider-Man: The Animated Series,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
4307,The Incredible Hulk,A nuclear scientist is afflicted with the tendency to change into a powerful green monster under stress.
4308,X-Men: The Animated Series,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
4309,Marvel Rising: Battle of the Bands,"Ghost-Spider is no stranger to having to balance a secret identity and her normal life, but she's never been a part of a team in this series. Learning to deal with those expectations is a ..."
4310,Marvel Rising: Chasing Ghosts,Marvel Rising: Chasing Ghosts follows fan-favorite Ghost-Spider teaming-up with the Secret Warriors to bring down the villains Sheath and Exile for good. Can team leader Quake convince Ghost-Spider to join the team for good?
4311,Marvel Rising: Heart of Iron,"Riri Williams feels socially isolated because she is young for a college student. Hala the Accuser destroys the school's engineering lab and kidnaps Riri's best friend. inspired by Iron Man, Riri hatches a plan to save the day."
4312,Marvel Rising: Initiation,"Ghost-Spider is on the run after being framed for her friend Kevin's murder, while Ms. Marvel, Squirrel Girl, Quake, and Patriot attempt to bring her in."
4313,Marvel Rising: Operation Shuri,N/A
4314,Marvel Rising: Playing with Fire,N/A
4315,Marvel Rising: Secret Warriors,"Marvel Rising: Secret Warriors will launch first as a series of six four-minute digital shorts, with the full film coming to the screen in 2018."
4316,Marvel Studios: Assembling a Universe,"A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D."""
4317,,
4318,Ant-Man,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
4319,Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
4320,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
4321,Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
4322,Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
4323,Captain America: The First Avenger,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
4324,Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
4325,Captain Marvel,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
