,question,answer,doc num,sentences num,answer sentence
160,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009,1,1,"In October 2009, the American Law Institute voted to disavow the framework for capital punishment that it had created in 1962, as part of the Model Penal Code, ""in light of the current intractable institutional and structural obstacles to ensuring a minimally adequate system for administering capital punishment."""
170,To construct what feature was asphalt brought to Babylon?,wall,1,1,Specifically Herodotus mentioned that bitumen was brought to Babylon to build its gigantic fortification wall.
179,Which room has the famous balcony used by the royals?,Centre Room,1,1,At the centre of this wing is the famous balcony with the Centre Room behind its glass doors.
184,Who was appointed Supreme Commander in Korea after the removal of General MacArthur?,General Ridgway,1,2,"General Ridgway was appointed Supreme Commander, Korea; he regrouped the UN forces for successful counterattacks, while General James Van Fleet assumed command of the U.S. Eighth Army."
190,Hokkien morphemes are not always what?,etymological or phono-semantic,1,1,"While most Hokkien morphemes have standard designated characters, they are not always etymological or phono-semantic."
192,What did the 1998 version of ISO 12232 not permit?,measurement of camera output that had lossy compression,1,1,"Because the 1998 version of ISO 12232 did not permit measurement of camera output that had lossy compression, it was not possible to correctly apply any of those measurements to cameras that did not produce sRGB files in an uncompressed format such as TIFF."
194,Who argues that Napoleon's triumphs at Austerlitz and Jena increased his self-grandiosity?,Dwyer,1,1,"Dwyer argues that Napoleon's victories at Austerlitz and Jena in 1805-06 heightened his sense of self-grandiosity, leaving him even more certain of his destiny and invincibility."
199,Where has IP become a recognised asset class?,the UK,1,1,"In the UK, IP has become a recognised asset class for use in pension-led funding and other types of business finance."
201,What Queen song is featured on Glee's The Graduation Album?,We Are the Champions,1,2,"In May 2012, the choir performed ""We Are the Champions"" in the episode ""Nationals"", and the song features in The Graduation Album."
203,How long did the Thuringian realm exist?,until 531 and later,1,1,"The Thuringian Realm existed until 531 and later, the Landgraviate of Thuringia was the largest state in the region, persisting between 1131 and 1247."
216,Name some historic private houses in the county ,Halswell House and Marston Bigot.,1,1,Other historic houses in the county which have remained in private ownership or used for other purposes include Halswell House and Marston Bigot.
219,In which year was Ann Arbor chartered as a city?,1851,1,1,"In 1851, Ann Arbor was chartered as a city, though the city showed a drop in population during the Depression of 1873."
220,In what fortified city in Southern France did Viollet-le-Duc recreate historical Gothic constructions?,Carcassonne,1,1,"In France, simultaneously, the towering figure of the Gothic Revival was Eugène Viollet-le-Duc, who outdid historical Gothic constructions to create a Gothic as it ought to have been, notably at the fortified city of Carcassonne in the south of France and in some richly fortified keeps for industrial magnates."
234,What kind of marketing budgets do NPOs usually have?,minimal or nonexistent,1,2,Many nonprofit organizations find it difficult to create consistent messaging that resonates with their various stakeholders as marketing budgets are minimal or nonexistent.
236,Avicenna became a qualified physician at what age?,18,1,2,"The teenager achieved full status as a qualified physician at age 18, and found that ""Medicine is no hard and thorny science, like mathematics and metaphysics, so I soon made great progress; I became an excellent doctor and began to treat patients, using approved remedies."""
237,Who began moderating the use of Hanja?,Kim Jong Un,1,1,"After Kim Jong Il, the second ruler of North Korea, died in December 2011, Kim Jong Un stepped up and began mandating the use of Hanja as a source of definition for the Korean language."
238,Where were the Uyghurs transferred from?,United States Guantánamo Bay detention camp,1,1,"On 11 June 2009, four Uyghurs who had been held in the United States Guantánamo Bay detention camp, in Cuba, were transferred to Bermuda."
239,Which tribe ran the city of Nri?,Igbo,1,2,"Nri was ruled by the Eze Nri, and the city of Nri is considered to be the foundation of Igbo culture."
252,What is the name of the festival celebrated in Eastern Orthodox nations during the last week before Great Lent?,Maslenitsa,1,1,"In Eastern Orthodox nations, Maslenitsa is celebrated during the last week before Great Lent."
253,What are some controversies that have shaped Baptists?,"""missions crisis"", the ""slavery crisis"", the ""landmark crisis"", and the ""modernist crisis""",1,1,"Some controversies that have shaped Baptists include the ""missions crisis"", the ""slavery crisis"", the ""landmark crisis"", and the ""modernist crisis""."
254,What age were children able to take part in European training programs?,aged 14 years or over,1,1,"Additionally, the European law exception allows children aged 14 years or over to work as part of a work/training scheme."
259,What did Jesus's death accomplish per the Eastern Church?,redeem humanity from the disgrace caused by the fall of Adam,1,2,"In the Eastern Church Sergei Bulgakov argued that the crucifixion of Jesus was ""pre-eternally"" determined by the Father before the creation of the world, to redeem humanity from the disgrace caused by the fall of Adam."
260,When did Britain formally surrender sovreignty over Hong Kong?,1997,1,2,The transfer of Hong Kong to China in 1997 marked for many the end of the British Empire.
262,What materials were 45 rpm records made of?,vinyl or polystyrene,1,1,Early 45 rpm records were made from either vinyl or polystyrene.
267,When was the University of Fribourg put into the Dominican Order's care?,1890,1,1,"The faculty of theology at the University of Fribourg, confided to the care of the Dominicans in 1890, is flourishing, and has about 250 students."
268,Under what circumstances are Oppidan Scholarships awarded?,consistently performing with distinction in School and external examinations,1,1,Oppidan scholarships may also be awarded for consistently performing with distinction in School and external examinations.
269,Which inline roller sports translate well to winter in Cork?,hockey and figure skating,1,1,"There are also inline roller sports, such as hockey and figure skating, which transfer to the ice over the winter season."
270,"As a result, what became the religion of Galician society?",Christian,1,1,Today about 73% of Galicians identify themselves as Christians.
272,What mountains surround the Sichuan basin to the North?,Qin Mountains,1,1,"The Sichuan basin is surrounded by the Himalayas to the west, the Qin Mountains to the north, and mountainous areas of Yunnan to the south."
274,How many suburban residents take in Detroit's entertainment options?,two-thirds,1,1,About two-thirds of suburban residents occasionally dine and attend cultural events or take in professional games in the city of Detroit.
279,In what year were all Tibetan Muslims declared Indiana citizens?,1959,1,2,After 1959 a group of Tibetan Muslims made a case for Indian nationality based on their historic roots to Kashmir and the Indian government declared all Tibetan Muslims Indian citizens later on that year.
281,Who is Northwestern's faculty member notable for winning the Nobel Prize?,chemist John Pople,1,1,"Notable former faculty include political advisor David Axelrod, artist Ed Paschke, writer Charles Newman, Nobel Prize–winning chemist John Pople, and military sociologist and ""don't ask, don't tell"" author Charles Moskos."
283,What is the average snowfall in southern Oklahoma?,less than 4 inches,1,2,Snowfall ranges from an average of less than 4 inches (10 cm) in the south to just over 20 inches (51 cm) on the border of Colorado in the panhandle.
286,John XXIII received what prize on 10 May 1963?,Balzan Prize,1,2,"On 11 May, the Italian President Antonio Segni officially awarded Pope John XXIII with the Balzan Prize for his engagement for peace."
289,Where is the eastern terminus of the Trans-Canada Highway?,St. John's,1,1,"St. John's is the eastern terminus of the Trans-Canada Highway, one of the longest national highways in the world."
295,What medications can also trigger asthma?,aspirin and beta blockers,1,1,Other potential triggers include medications such as aspirin and beta blockers.
296,Were Laserdiscs or VHS more durable in the long run?,LaserDiscs,1,2,"LaserDiscs were initially cheaper than videocassettes to manufacture, because they lacked the moving parts and plastic outer shell that are necessary for VHS tapes to work, and the duplication process was much simpler."
299,What offshoots of polychaetes are only segmented in the rear?,pogonophores,1,1,"Polychaetes, which these analyses found to be the parent group, have completely segmented bodies, while polychaetes' echiurans and sipunculan offshoots are not segmented and pogonophores are segmented only in the rear parts of their bodies."
301,"What did Obama say the US is at war with, in 2009?",a far-reaching network of violence and hatred,1,2,"U.S. President Barack Obama has rarely used the term, but in his inaugural address on 20 January 2009, he stated ""Our nation is at war, against a far-reaching network of violence and hatred."""
302,How much in contributions did the Labour party get from January to Marrch 2008?,£3 million,1,1,"Between January and March 2008, the Labour Party received just over £3 million in donations and were £17 million in debt; compared to the Conservatives' £6 million in donations and £12 million in debt."
304,What was the per capita personal income in Alaska in 2007?,"$40,042 ",1,1,"Its per capita personal income for 2007 was $40,042, ranking 15th in the nation."
308,What is a group with a common evolutionary ancestor population called?,a clade,1,2,A clade is a taxonomic group of organisms consisting of a single common ancestor and all the descendants of that ancestor.
312,How was Bonner appointed his position?,chosen by the Liberal Party to fill a Senate vacancy in 1971,1,1,Bonner was chosen by the Liberal Party to fill a Senate vacancy in 1971 and celebrated his maiden parliamentary speech with a boomerang throwing display on the lawns of Parliament.
318,Who has shown support for ambitious renewable energy goals?,EU member countries,1,1,EU member countries have shown support for ambitious renewable energy goals.
326,IBM publicized its hiring policy to help negotiations in two states where in the U.S.?,the U.S. South,1,1,"He also publicized the policy so that in his negotiations to build new manufacturing plants with the governors of two states in the U.S. South, he could be clear that IBM would not build ""separate-but-equal"" workplaces."
332,What did Hayek claim to prefer over a democratic government in the absence of liberal ideals?,a liberal dictatorship,1,1,[...] Personally I prefer a liberal dictatorship to democratic government devoid of liberalism.
333,What happens with inflammatory diarrhea?,a passive loss of protein-rich fluids and a decreased ability to absorb these lost fluids,1,2,"Inflammatory diarrhea occurs when there is damage to the mucosal lining or brush border, which leads to a passive loss of protein-rich fluids and a decreased ability to absorb these lost fluids."
342,What is typical in Czech as other Latin European languages?,punctuation,1,1,"Proper nouns, honorifics, and the first letters of quotations are capitalized, and punctuation is typical of other Latin European languages."
348,What atomic bomb test did Feynman see?,Trinity bomb test,1,2,"He immersed himself in work on the project, and was present at the Trinity bomb test."
359,What is a vertical column of liquid in a tube which has different pressures at each end called?,Hydrostatic gauges,1,1,Hydrostatic gauges (such as the mercury column manometer) consist of a vertical column of liquid in a tube whose ends are exposed to different pressures.
363,What size is the diameter of the center hole in a CD?,15 mm,1,2,"Once opened, the disc substrate is removed from the mold by a robotic arm, and a 15 mm diameter center hole (called a stacking ring) is created."
365,What were Religious officials perceived as in the Pre-Modern era?,spiritual intermediaries,1,1,"Religious officials, who often held positions of power, were the spiritual intermediaries to the common person."
373,What did Melzack and Casey theorize could influence the perception of the magnitude of pain?,cognitive activities,1,1,"They theorized that pain intensity (the sensory discriminative dimension) and unpleasantness (the affective-motivational dimension) are not simply determined by the magnitude of the painful stimulus, but ""higher"" cognitive activities can influence perceived intensity and unpleasantness."
374,What is a subset of a database called that can be accessed by using a password?,subschemas,1,1,"Using passwords, users are allowed access to the entire database or subsets of it called ""subschemas""."
378,What's the temperature at which resin softens and expands called?,glass transition temperature,1,1,At the glass transition temperature the resin in the composite softens and significantly increases thermal expansion; exceeding Tg then exerts mechanical overload on the board components - e.g.
381,In what century was the phalanx formation finally discarded by the Roman people?,4th century BC,1,1,"In the 4th century BC, the Romans abandoned the phalanx in favour of the more flexible manipular formation."
382,What was it imperative for the Japanese to hold?,Saipan,1,1,It was imperative for Japanese commanders to hold Saipan.
387,Football associations enforce what kind of conduct?,good,1,2,"Along with the general administration of the sport, football associations and competition organisers also enforce good conduct in wider aspects of the game, dealing with issues such as comments to the press, clubs' financial management, doping, age fraud and match fixing."
388,When was the sash window developed?,the 1670s,1,1,"To open these large windows the sash window, already developed by the 1670s, became very widespread."
392,What features were added to the lock screen?,clock and notifications,1,1,"New features and functionality in Windows 8 include a faster startup through UEFI integration and the new ""Hybrid Boot"" mode (which hibernates the Windows kernel on shutdown to speed up the subsequent boot), a new lock screen with a clock and notifications, and the ability for enterprise users to create live USB versions of Windows (known as Windows To Go)."
395,"On runways, what indicate the end of the runway?",red lights,1,1,"On runways, green lights indicate the beginning of the runway for landing, while red lights indicate the end of the runway."
401,When did South Africa impose the apartheid policy on Namibia?,1948,1,1,"In 1920, the League of Nations mandated the country to South Africa, which imposed its laws and, from 1948, its apartheid policy."
403,What are these enlisted positions in the USAF complimented by?,commissioned officers,1,2,Most of these are enlisted positions augmented by a smaller number of commissioned officers.
411,What is considered the most important surviving mosaic of the Justinian age?,The portrait of a moustached man,1,1,"The portrait of a moustached man, probably a Gothic chieftain, is considered the most important surviving mosaic of the Justinianian age."
413,What elements had the power of benefit or harm in Roman religion?,divine agencies,1,2,"The same divine agencies who caused disease or harm also had the power to avert it, and so might be placated in advance."
418,Who runs the rail transport in Greece?,TrainOSE,1,1,"Rail transport in Greece is operated by TrainOSE, a subsidiary of the Hellenic Railways Organization (OSE)."
419,From 1861 to 1875 how many times was Dmocratic minority speaker not nominated?,two of these seven Congresses,1,1,"The Democratic minority from 1861 to 1875 was so completely disorganized that they did not ""nominate a candidate for Speaker in two of these seven Congresses and nominated no man more than once in the other five."
420,When was the Italian Armenian monastery founded?,1717,1,2,"An Armenian Catholic monastic community of 35 founded in 1717 exists on an island near Venice, Italy."
434,About how many bison were in Montana in 1870?,over 13 million,1,1,Some estimates say there were over 13 million bison in Montana in 1870.
46,When did super heroes become popular again in comic books?,1960s,2,2,Superheroes re-established themselves as the most prominent comic book genre by the early 1960s.
62,"Aside from the ARB, what other organization offers accreditation services for schools serving architects?",RIBA,2,2,"Under arrangements made in 2011 the validation criteria are jointly held by the RIBA and the Architects Registration Board, but unlike the ARB, the RIBA also validates courses outside the UK."
94,What has the Brazilian media been accused of?,"hiding or overlooking the nation's Black, Indigenous, Multiracial and East Asian populations.",2,1,"The Brazilian media has been accused of hiding or overlooking the nation's Black, Indigenous, Multiracial and East Asian populations."
100,In which country was the first portable audio player developed?,South Korea,2,1,"In 1998, the first portable solid state digital audio player MPMan, developed by SaeHan Information Systems which is headquartered in Seoul, South Korea, was released and the Rio PMP300 was sold afterwards in 1998, despite legal suppression efforts by the RIAA."
115,The act of predation typically results in what for the prey?,death,2,1,"Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey."
150,Which empire was overthrown by a popular uprising in Paris?,the Second Empire,2,1,"When the news arrived at Paris of the surrender at Sedan of Napoleon III and 80,000 men, the Second Empire was overthrown by a popular uprising in Paris, which forced the proclamation of a Provisional Government and a Third Republic by general Trochu, Favre and Gambetta at Paris on 4 September, the new government calling itself the Government of National Defence."
164,"Besides serving Washington, Idaho, and Montana, what northern state uses Seattle Children's?",Alaska,2,1,"Located in the Laurelhurst neighborhood, Seattle Children's, formerly Children's Hospital and Regional Medical Center, is the pediatric referral center for Washington, Alaska, Montana, and Idaho."
167,"Besides living in shtetls, maintaining a strong system of education for males, and scorning the life-style of their neighbors, Jews in central and eastern Europe also did what?",heeded rabbinic leadership,2,1,"Furthermore, Jews lived almost exclusively in shtetls, maintained a strong system of education for males, heeded rabbinic leadership, and scorned the life-style of their neighbors; and all of these tendencies increased with every outbreak of antisemitism."
200,What is the 24 hours of Daytona ,The 24 Hours of Daytona is one of the world's most prestigious endurance auto races,2,1,The 24 Hours of Daytona is one of the world's most prestigious endurance auto races.
243,When did modern sociology surface?,early 19th century,2,1,"The modern sociology, emerged in the early 19th century as the academic response to the modernization of the world."
250,What constant in two cities can create disparities in analysis by way of distribution over differing land areas?,identical population,2,1,"For example, two cities of identical population can cover widely differing land areas, making such analyses irrelevant."
258,Who was the new chairman of the State Planning Committee in 1985?,Nikolai Talyzin,2,1,"On September 27, Nikolai Ryzhkov replaced 79-year-old Nikolai Tikhonov as Chairman of the Council of Ministers, effectively the Soviet prime minister, and on October 14, Nikolai Talyzin replaced Nikolai Baibakov as chairman of the State Planning Committee (GOSPLAN)."
264,On what was dependent for the choice of methods in gaining knowledge?,sub-school,2,2,"The epistemology of the Vedantins included, depending on the sub-school, five or six methods as proper and reliable means of gaining any form of knowledge: pratyakṣa (perception), anumāṇa (inference), upamāṇa (comparison and analogy), arthāpatti (postulation, derivation from circumstances), anupalabdi (non-perception, negative/cognitive proof) and śabda (word, testimony of past or present reliable experts)."
266,What is the name of the actor who played the subway beat boxer?,Chesney Snow,2,1,Beat boxer and actor Chesney Snow performed this role for the 2010 Primary Stages production.
311,Which state switched sides and embraced the Democratic party after previously choosing the Republican party?,New Hampshire,2,1,"The electoral map closely resembled that of 2000, with only three states changing sides: New Mexico and Iowa voted Republican in 2004 after having voted Democratic in 2000, while New Hampshire voted Democratic in 2004 after previously voting Republican."
314,What does the tester execute while performing certain actions?,SQL statements,2,1,The tester can observe the state of the product being tested after performing certain actions such as executing SQL statements against the database and then executing queries to ensure that the expected changes have been reflected.
323,To what did the ending -ei evolve into in Ijekavian Neostokavian?,#NAME?,2,1,"For verbs that had -ěti in their infinitive, the past participle ending -ěl evolved into -io in Ijekavian Neoštokavian."
335,"Along with ""Cargo Gateway of the Americas,"" what is another nickname for PortMiami?","""Cruise Capital of the World""",2,1,"The port is often called the ""Cruise Capital of the World"" and the ""Cargo Gateway of the Americas""."
344,"Approximately how many Cherokees died along their ""Trail of Tears?""","4,000",2,1,"During this relocation an estimated 4,000 Cherokees died along the way west."
347,Who did George III try to please with the Quebec Act of 1774?,French Canadians,2,1,"The Quebec Act of 1774, similarly intended to win over the loyalty of French Canadians, also spurred resentment among American colonists."
366,When was that article published?,8-Nov-12,2,1,"On November 8, 2012, Washington, D.C. newspaper The Hill published an article saying that Congress will likely ignore the results of the referendum due to the circumstances behind the votes."
404,What types of light can LEDs form better than incandescent?,thinner,2,2,Using LEDs has styling advantages because LEDs can form much thinner lights than incandescent lamps with parabolic reflectors.
414,Who was the Google product manager in 2010?,Shiva Rajaraman,2,2,"Google product manager Shiva Rajaraman commented: ""We really felt like we needed to step back and remove the clutter."""
415,What did the five-justice majority hold that Newdow lacked?,standing to sue,2,1,"Rather, a five-justice majority held that Newdow, a non-custodial parent suing on behalf of his daughter, lacked standing to sue."
416,What group initiated the right to religious freedom?,Protestants,2,1,Protestants also took the initiative in advocating for religious freedom.
424,"According to The Brookings Institution report in June 2009, how much growth did U.S. consumption account for between 2000 and 2007?",more than a third,2,1,The Brookings Institution reported in June 2009 that U.S. consumption accounted for more than a third of the growth in global consumption between 2000 and 2007.
433,What can archaeologists deduce from material remains?,human behavior and cultural practices,2,1,Archaeologists examine these material remains in order to deduce patterns of past human behavior and cultural practices.
64,What country test detonated an atomic bomb near the island?,United States,3,2,"The United States faced a new uncertainty beginning in September 1949, when it lost its monopoly on the atomic bomb."
84,"Which brains are easier to work on, vertebrates or invertebrates?",invertebrate,3,2,"No single feature distinguishes Annelids from other invertebrate phyla, but they have a distinctive combination of features."
90,In what century did the Xeer system begin?,7th,3,1,The Xeer legal system is assumed to have developed exclusively in the Horn of Africa since approximately the 7th century.
111,How do fungi communicate with insects?,through biochemicals of biotic origin,3,2,"Fungi communicate with their own and related species as well as with non fungal organisms in a great variety of symbiotic interactions, especially with bacteria, unicellular eukaryote, plants and insects through biochemicals of biotic origin."
161,The new venues and modes of communication allowing for rational exchange were given what term by Habermas in 18th century Europe?,"the ""bourgeois public sphere""",3,1,"Habermas described the creation of the ""bourgeois public sphere"" in 18th-century Europe, containing the new venues and modes of communication allowing for rational exchange."
173,Who secured southern Lebanon?,Israel,3,2,"Most PLO fighters withdrew, but Israel was able to secure southern Lebanon until a UN force and the Lebanese army could take over."
187,The company operated a refinery on what river for several decades?,Thames,3,1,"Although for several decades the company had a refinery at Shell Haven on the Thames, there is no evidence of this having provided the name."
211,Genetic studies show that Jews bear their strongest resemblance to the peoples of where?,Fertile Crescent,3,1,"[citation needed]
Genetic studies on Jews show that most Jews worldwide bear a common genetic heritage which originates in the Middle East, and that they bear their strongest resemblance to the peoples of the Fertile Crescent."
218,Who championed the scientific study of anatomy for the benefit of art?,Donatello,3,1,"Greater realism was also achieved through the scientific study of anatomy, championed by artists like Donatello."
251,What occurred at the treaty of Verdun?,"Oaths of Strasbourg of 842, was formally dissolved in 843",3,1,"Alsace remained under Frankish control until the Frankish realm, following the Oaths of Strasbourg of 842, was formally dissolved in 843 at the Treaty of Verdun; the grandsons of Charlemagne divided the realm into three parts."
265,"Which party did the Whigs, along with others form?",the Liberal Party,3,2,"In Queensland, the Liberal and National parties merged in 2008 to form the new Liberal National Party of Queensland (registered as the Queensland Division of the Liberal Party of Australia)."
276,During which ere did scholars of Germany developed a more inclusive culture?,Romantic era,3,1,"During the Romantic era, scholars in Germany, especially those concerned with nationalist movements—such as the nationalist struggle to create a ""Germany"" out of diverse principalities, and the nationalist struggles by ethnic minorities against the Austro-Hungarian Empire—developed a more inclusive notion of culture as ""worldview"" (Weltanschauung)."
297,The balcony in which palace is famous for being where the royal family makes appearances?,Buckingham Palace,3,1,"After that single public appearance, for five days the Queen and the Duke shielded their grandsons from the intense press interest by keeping them at Balmoral where they could grieve in private, but the royal family's seclusion and the failure to fly a flag at half-mast over Buckingham Palace caused public dismay."
322,Who wrote Vitruvius Britannicus?,Colen Campbell,3,1,"Major architects to promote the change in direction from baroque were Colen Campbell, author of the influential book Vitruvius Britannicus (1715-1725); Richard Boyle, 3rd Earl of Burlington and his protégé William Kent; Isaac Ware; Henry Flitcroft and the Venetian Giacomo Leoni, who spent most of his career in England."
325,What other tree is common there?,hickories,3,1,"Other common trees are red maple (Acer rubrum), shagbark and bitternut hickories (Carya ovata and C. cordiformis) and black or sweet birch (Betula lenta )."
327,What releases another store of potential energy which was created at the time of the Big Bang?,nuclear fusion of hydrogen in the Sun,3,1,The nuclear fusion of hydrogen in the Sun also releases another store of potential energy which was created at the time of the Big Bang.
398,What was the central pond in the forecourt of a Ziggurat for?,purification,3,1,"Ziggurats (Sumerian temples) each had an individual name and consisted of a forecourt, with a central pond for purification."
421,"What is considered the inspired, inerrant word of God?",The entire Protestant canon,3,1,"The entire Protestant canon of scripture is considered the inspired, inerrant word of God."
427,What type of formation is indicated by low and high grade metamorphic rocks?,Greenstone,3,1,"Greenstone belts are typical Archean formations, consisting of alternating high- and low-grade metamorphic rocks."
430,How many Miles East of Puerto Rico is St. Barts?,160,3,1,"Located approximately 250 kilometres (160 mi) east of Puerto Rico and the nearer Virgin Islands, St. Barthélemy lies immediately southeast of the islands of Saint Martin and Anguilla."
438,Who lay special emphasis on conservation of particular species?,Bishnoi,3,1,"Regional social norms are generally antagonistic to hunting, while a few sects, such as the Bishnoi, lay special emphasis on the conservation of particular species, such as the antelope."
45,how long after the introduction of the world wide web was 1995?,4 years,4,1,"The remaining restrictions were removed by 1995, 4 years after the introduction of the World Wide Web."
105,Human perception of musical intervals is approximately what?,logarithmic,4,1,"Human perception of musical intervals is approximately logarithmic with respect to fundamental frequency: the perceived interval between the pitches ""A220"" and ""A440"" is the same as the perceived interval between the pitches A440 and A880."
119,What does the abbreviation STOIC stand for?,Student Television of Imperial College,4,1,"Imperial College TV
ICTV (formerly STOIC (Student Television of Imperial College)) is Imperial College Union's TV station, founded in 1969 and operated from a small TV studio in the Electrical Engineering block."
206,Which country did Britain ally with in 1904?,France,4,1,"France and Spain then entered the war against Great Britain as Allies of the US, ending its naval advantage and escalating the conflict into a world war."
228,At around what RMP do miniature grinders operate?,"30,000",4,1,"Many vacuum cleaner and weed trimmer motors exceed 10,000 rpm, while many similar miniature grinders exceed 30,000 rpm."
235,Alternative reality genre fiction is also known as what?,science fiction,4,2,"However, while Hayy lives alone with animals on the desert island for the rest of the story in Philosophus Autodidactus, the story of Kamil extends beyond the desert island setting in Theologus Autodidactus, developing into the earliest known coming of age plot and eventually becoming the first example of a science fiction novel."
278,"According to the rule of law, what should hold the determination for rules in a land? ",law,4,2,Black's Law Dictionary includes non-violence in its definition of civil disobedience.
315,What was the German constitution later amended to say about the citizens of the 16 states?,had successfully achieved the unity of Germany,4,1,"Later, the constitution was amended to state that the citizens of the 16 states had successfully achieved the unity of Germany in free self-determination and that the Basic Law thus applied to the entire German people."
330,Leibnitz held that there is a reason that is sufficient to explain what and why it is the way it is and not otherwise for every what?,fact,4,1,"For every string that acts on a load, another factor of the tension force in the string acts on the load."
349,"Along with Qatar and France, what nation helped to train the NTC?",United Arab Emirates,4,1,"Ignoring this, Qatar sent hundreds of troops to support the dissidents, and along with France and the United Arab Emirates provided the NTC with weaponry and training."
384,Who wrote Hayy ibn Yaqdha?,Ibn Tufail,4,2,"During the Middle Ages Aristotle's theory of tabula rasa was developed by Islamic philosophers starting with Al Farabi, developing into an elaborate theory by Avicenna and demonstrated as a thought experiment by Ibn Tufail."
408,What does the DNA evidence suggest about the migrants into the northern extremes of North America?,later migrant populations,4,1,This suggests that the earliest migrants into the northern extremes of North America and Greenland derived from later migrant populations.
432,Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,4,1,Their graduates were shut out of Harvard Law School for that reason.
3,Which other Apple product does the iPod Touch share an interface and OS with?,iPhone,5,1,"YouTube videos can be viewed on devices including Apple TV, iPod Touch and the iPhone."
54,Are communications services in Somalia mostly concentrated in the public or private sector?,private,5,1,"For instance, if the head of government of a country were to refuse to enforce a decision of that country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen."
61,Has the world seen many or few changes in the observation of DST?,many,5,2,"These tombs are particularly numerous in Ireland, where there are many thousand still in existence."
125,"What were the people who used maps, blackboards, and mental calculation to ensure the safe separation of aircraft traveling between cities called?",air traffic controllers,5,1,"The pioneer air traffic controllers used maps, blackboards, and mental calculations to ensure the safe separation of aircraft traveling along designated routes between cities."
144,Which design feature did Smith eventually use to make production of a newly designed board more cost-efficient?,fewer RAM chips than the Lisa,5,1,"Smith's design used fewer RAM chips than the Lisa, which made production of the board significantly more cost-efficient."
153,Who did Aksum conquer in order to extend its rule over the Arabian peninsula?,Himyarite Kingdom,5,1,"The state also established its hegemony over the declining Kingdom of Kush and regularly entered the politics of the kingdoms on the Arabian peninsula, eventually extending its rule over the region with the conquest of the Himyarite Kingdom."
213,What encoding reduces the heterogeneity of a dataset by sorting SNPs?,MAFE,5,1,"For this, Chanda, Elhaik, and Bader introduced MAF based encoding (MAFE), which reduces the heterogeneity of the dataset by sorting SNPs by their minor allele frequency, thus homogenizing the dataset."
222,"What demarcates a clear distinction between nation and state, as well as religion and state?",Indian political philosophy,5,1,Indian political philosophy evolved in ancient times and demarcated a clear distinction between (1) nation and state (2) religion and state.
345,Who released Spiral Scratch on their own label?,Buzzcocks,5,1,"By 1977, groups began pointedly pursuing methods of releasing music independently , an idea disseminated in particular by the Buzzcocks' release of their Spiral Scratch EP on their own label as well as the self-released 1977 singles of Desperate Bicycles."
357,What civil-defense efforts were left to local authorities to handle?,shelters,5,1,":33
Much civil-defence preparation in the form of shelters was left in the hands of local authorities, and many areas such as Birmingham, Coventry, Belfast and the East End of London did not have enough shelters."
407,How much did the population grow during the 18th century?,doubled,5,2,"Literacy rates are difficult to gauge, but in France at least, the rates doubled over the course of the 18th century."
